0.19	227.21	9.95
0.35	265.17	8.81
0.63	252.45	13.31
1.63	212.09	6.1
2.56	211.79	1.52
3.52	214.08	2.62
4.52	233.16	3.43
5.58	236.38	1.79
6.55	250.82	2.23
7.57	247.49	0.85
8.42	247.03	0.62
9.50	210.12	8.28
10.46	209.79  12.54
11.42	225.16  12.25
12.51	245.87  21.24
13.36	247.75  19.96
14.44	216.31  14.91
16.19	291.96  25.91
19.14	183.02  54.32
26.30	193.97	6.5
28.27	232.77  11.34
29.51	200.52	7.49
32.02	168.78	4.34
34.01	170.12	7.23
35.99	199.64  13.59
38.08	176.82	7.05
40.45	199.10  14.07
42.43	188.84	7.21
44.49	212.10  17.78
45.99	182.11  11.14
48.05	206.71  23.12
49.53	181.39  18.16
51.93	175.63  19.33
54.38	153.73  22.55
56.94	191.44  24.88
57.99	208.52  34.05
60.93	169.75  25.57
64.70	204.62  36.72
69.27	204.21  39.94
73.03	195.35  42.13
77.01	232.18  77.77
81.23	176.35  62.77
85.04	124.68  37.32
89.44	137.89  29.83
92.56	158.21  68.98
97.58	188.51  74.84
100.87	105.18  39.57
106.92	150.54  58.93
120.01	139.31  24.50
189.52	128.24  40.03
