0.19	231.95	13.13
0.36	266.93	4.51
0.65 	246.89  10.6
1.62	205.73	5.8
2.61	199.91	1.6
3.55	209.45	2.54
4.52	226.19	2.2
5.54	223.45	1.82
6.47	233.59	2.55
7.55	222.95	1.62
8.43	206.35	7.1
9.47	181.13	9.4
10.52	200.09	13.5
11.39	201.15	17.18
12.4	219.82	18.06
13.46	175.32	2.7
14.52	157.22	18.21
15.81	244.37	24.5
19.78	206.54	99.13
26.27	195.19	7.03
28.27	227.82	11.13
29.48	209.34	9.95
31.55	179.72	7.83
33.75	174.88	7.88
36.5	176.68	6.38
38.4	185.9	11.69
40.42	194.47	14.33
42.42	191.16	3.68
44.48	204.39	17.37
45.97	183.8	11.69
48.03	210.75	24.06
49.95	170.22	15.79
51.78	217.07	32.27
53.91	154.8	19.08
56.86	188.95  23.77
57.96	207.16  37.15
60.89	181.95  28.51
64.73	202.08  34.79
69.4	203.78  40.98
72.99	199.21  44.47
77.09	227.19  71.13
81.7	156.32  51.09
85.21	108.31  36.93
88.94	176.8   48.97
89.5	106.56  39.89
92.27	161.64  70.66
97.15	192.29  76.46
100.48	103.47  38.93
106.55	162.19  63.93
119.93	131.33  24.43
189.45	130.9   42.17
